R02-1-A Q0 15 1 1.170000 CAPTAIN
R02-1-A Q0 11 2 1.170000 CAPTAIN
R02-1-I Q0 15 1 1.170000 CAPTAIN
R02-1-U Q0 17 1 1.035000 CAPTAIN
R02-1-U Q0 18 2 0.900000 CAPTAIN
R02-1-U Q0 15 3 0.845000 CAPTAIN
R02-1-E Q0 17 1 1.035000 CAPTAIN
R02-2-E Q0 36 1 1.035000 CAPTAIN
R02-2-E Q0 3 2 0.900000 CAPTAIN
R02-3-A Q0 95 1 0.455000 CAPTAIN
R02-3-I Q0 96 1 0.650000 CAPTAIN
R02-4-A Q0 117 1 1.035000 CAPTAIN
R02-4-A Q0 103 2 0.900000 CAPTAIN
R02-4-I Q0 117 1 1.035000 CAPTAIN
R02-4-I Q0 115 2 0.900000 CAPTAIN
R02-5-A Q0 166 1 1.170000 CAPTAIN
R02-5-I Q0 96 1 1.170000 CAPTAIN
R02-5-U Q0 724 1 0.350000 CAPTAIN
R02-5-E Q0 169 1 1.035000 CAPTAIN
R02-5-O Q0 508 1 0.900000 CAPTAIN
R02-8-E Q0 192 1 0.300000 CAPTAIN
R02-8-O Q0 663 1 1.035000 CAPTAIN
R02-9-A Q0 200 1 1.035000 CAPTAIN
R02-9-I Q0 200 1 0.345000 CAPTAIN
R02-9-U Q0 200 1 0.402500 CAPTAIN
R02-9-E Q0 96 1 0.910000 CAPTAIN
R02-9-O Q0 200 1 1.035000 CAPTAIN
R02-10-I Q0 278 1 1.170000 CAPTAIN
R02-10-I Q0 604 2 1.035000 CAPTAIN
R02-10-U Q0 265 1 0.350000 CAPTAIN
R02-11-E Q0 338 1 1.035000 CAPTAIN
R02-11-E Q0 327 2 1.035000 CAPTAIN
R02-11-E Q0 337 3 0.900000 CAPTAIN
R02-11-E Q0 339 4 0.900000 CAPTAIN
R02-12-A Q0 179 1 1.170000 CAPTAIN
R02-13-A Q0 376 1 0.575000 CAPTAIN
R02-15-I Q0 555 1 0.300000 CAPTAIN
R02-15-U Q0 562 1 0.575000 CAPTAIN
R02-15-E Q0 555 1 0.500000 CAPTAIN
R02-15-O Q0 493 1 0.900000 CAPTAIN
R02-16-I Q0 424 1 0.402500 CAPTAIN
R02-16-U Q0 424 1 0.402500 CAPTAIN
R02-16-E Q0 425 1 0.900000 CAPTAIN
R02-16-O Q0 424 1 1.035000 CAPTAIN
R02-16-O Q0 425 2 0.900000 CAPTAIN
R02-17-A Q0 169 1 1.035000 CAPTAIN
R02-17-I Q0 519 1 0.900000 CAPTAIN
R02-17-U Q0 128 1 0.900000 CAPTAIN
R02-18-U Q0 494 1 1.035000 CAPTAIN
R02-19-A Q0 500 1 0.900000 CAPTAIN
R02-19-I Q0 502 1 0.650000 CAPTAIN
R02-19-E Q0 504 1 1.035000 CAPTAIN
R02-23-I Q0 484 1 1.035000 CAPTAIN
R02-23-E Q0 179 1 1.170000 CAPTAIN
R02-23-O Q0 555 1 0.900000 CAPTAIN
R02-24-A Q0 564 1 0.900000 CAPTAIN
R02-24-I Q0 176 1 0.700000 CAPTAIN
R02-24-U Q0 563 1 0.650000 CAPTAIN
R02-24-E Q0 541 1 0.500000 CAPTAIN
R02-24-O Q0 566 1 0.900000 CAPTAIN
R02-25-I Q0 606 1 1.035000 CAPTAIN
R02-25-U Q0 611 1 0.575000 CAPTAIN
R02-25-E Q0 613 1 1.170000 CAPTAIN
R02-25-O Q0 616 1 0.900000 CAPTAIN
R02-26-A Q0 652 1 0.900000 CAPTAIN
R02-26-I Q0 656 1 0.900000 CAPTAIN
R02-26-U Q0 649 1 0.900000 CAPTAIN
R02-26-O Q0 653 1 0.900000 CAPTAIN
R02-27-A Q0 249 1 0.900000 CAPTAIN
R02-27-A Q0 675 2 0.575000 CAPTAIN
R02-27-I Q0 670 1 1.170000 CAPTAIN
R02-27-U Q0 678 1 0.402500 CAPTAIN
R02-27-E Q0 676 1 1.170000 CAPTAIN
R02-27-O Q0 676 1 1.170000 CAPTAIN
R02-28-U Q0 706 1 0.500000 CAPTAIN
R02-28-O Q0 707 1 1.035000 CAPTAIN
R02-36-A Q0 95 1 1.170000 CAPTAIN
R02-36-I Q0 153 1 0.500000 CAPTAIN
R02-36-U Q0 187 1 0.575000 CAPTAIN
R02-36-E Q0 254 1 0.350000 CAPTAIN
R02-37-A Q0 407 1 1.035000 CAPTAIN
R02-37-I Q0 540 1 1.035000 CAPTAIN
